"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.339112044E0,3.847768903E-1,-1.607436985E-1,-7.514722943E-1,8.594198049E-1
2.349112044E0,3.721111119E-1,-1.607436985E-1,-7.360502481E-1,8.402828000E-1
2.359112044E0,3.713999689E-1,-1.607394367E-1,-7.195699215E-1,8.255640347E-1
2.369112044E0,3.602299690E-1,-1.607330590E-1,-7.068541050E-1,8.094711067E-1
2.379112044E0,3.499297798E-1,-1.607277393E-1,-6.958363652E-1,7.952813993E-1
2.389112044E0,3.315736055E-1,-1.607266665E-1,-6.885032654E-1,7.809038761E-1
2.399112044E0,3.117450774E-1,-1.607319862E-1,-6.829512715E-1,7.677513946E-1
2.409112044E0,2.803025842E-1,-1.386272907E-1,-6.817886829E-1,7.500819106E-1
2.419112044E0,2.445281893E-1,-1.161947027E-1,-6.829097271E-1,7.346161853E-1
2.429112044E0,2.016431838E-1,-9.461486340E-2,-6.865859032E-1,7.218117126E-1
2.439112044E0,1.496152282E-1,-7.344809920E-2,-6.928628683E-1,7.126277388E-1
2.449112044E0,9.567735344E-2,-5.546667427E-2,-7.005643249E-1,7.092397910E-1
2.459112044E0,3.031184524E-2,-3.839337081E-2,-7.102853656E-1,7.119678079E-1
2.469112044E0,-2.539117448E-2,-2.104859240E-2,-7.202491760E-1,7.210039047E-1
2.479112044E0,-9.413578361E-2,-5.812822492E-4,-7.323304415E-1,7.383561195E-1
2.489112044E0,-1.506340802E-1,-2.778656781E-4,-7.446757555E-1,7.597583064E-1
2.499112044E0,-2.139065415E-1,3.726168143E-5,-7.579271197E-1,7.875338270E-1
2.509112044E0,-2.724297345E-1,3.374843800E-4,-7.695453167E-1,8.163443321E-1
2.519112044E0,-3.281870484E-1,6.419655401E-4,-7.805449367E-1,8.467334581E-1
2.529112044E0,-3.797721267E-1,9.432528750E-4,-7.907365561E-1,8.772069647E-1
2.539112044E0,-4.432575107E-1,9.389944025E-4,-7.984166741E-1,9.132071441E-1
2.549112044E0,-5.178468823E-1,9.389944025E-4,-8.065450788E-1,9.584786066E-1
2.559112044E0,-5.715484023E-1,9.475113475E-4,-8.126134276E-1,9.934832946E-1
2.569112044E0,-6.236732602E-1,9.475113475E-4,-8.200327158E-1,1.030253798E0
2.579112044E0,-6.600683331E-1,9.560282924E-4,-8.269921541E-1,1.058114900E0
2.589112044E0,-7.000501156E-1,9.475113475E-4,-8.361372352E-1,1.090502883E0
2.599112044E0,-7.255030274E-1,9.421882569E-4,-8.452333212E-1,1.113900758E0
2.609112044E0,-7.585009336E-1,9.464467294E-4,-8.567504287E-1,1.144266516E0
2.619112044E0,-7.793003917E-1,6.334485952E-4,-8.690276146E-1,1.167269676E0
2.629112044E0,-8.072466850E-1,4.875957093E-4,-8.837182522E-1,1.196914950E0
2.639112044E0,-8.340005279E-1,2.161177545E-4,-8.995491862E-1,1.226680751E0
2.649112044E0,-8.611813188E-1,-1.064619501E-4,-9.164638519E-1,1.257592647E0
